numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
100,0,46,0,0,0,45,53,44,1,45,0,53,0,53,TRUE
5,0,100,23,0,9,58,62,31,29,5,0,4,2,44,TRUE
18,31,60,20,0,9,59,48,58,28,9,31,8,1,48,TRUE
0,0,100,10,0,33,89,89,88,5,0,0,0,0,89,TRUE
0,46,54,20,0,0,47,51,46,26,0,45,0,1,47,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,0,50,TRUE
0,0,100,47,0,2,63,63,62,8,0,0,0,0,63,FALSE
100,0,54,0,0,0,53,45,52,1,53,0,45,1,45,TRUE
0,79,21,21,0,0,78,78,77,11,0,78,0,0,78,TRUE
60,1,80,4,0,1,47,53,44,27,40,1,40,3,31,TRUE
45,1,91,0,0,0,37,61,36,13,36,1,34,4,31,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
0,0,100,4,0,0,44,64,43,2,0,0,0,1,64,FALSE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
41,0,79,15,0,9,53,53,44,28,20,0,20,2,53,TRUE
9,19,77,40,0,7,52,47,51,38,5,18,4,0,47,TRUE
0,15,85,11,0,22,88,88,87,8,0,15,0,0,88,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
47,0,77,6,0,6,51,60,37,29,23,0,23,3,60,TRUE
0,0,100,12,0,1,75,23,74,2,0,0,0,11,22,FALSE
1,54,46,35,0,0,63,56,62,28,1,53,1,2,34,TRUE
2,0,98,20,0,0,62,36,61,1,2,0,0,7,8,FALSE
3,16,83,26,0,16,55,55,54,18,2,16,2,1,55,TRUE
0,0,100,2,0,0,75,82,74,1,0,0,0,1,82,FALSE
30,4,85,19,0,8,45,53,44,15,18,4,14,0,29,TRUE
0,0,100,1,0,0,57,65,56,1,0,0,0,1,65,FALSE
