srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/172.16.82.94,/224.0.0.251,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.94,/224.0.0.251,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/192.168.69.57,/192.168.255.255,d4:ae:52:b7:95:ff,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),229
/172.16.80.220,/224.0.0.251,34:fc:ef:a0:17:8a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.81.37,/224.0.0.251,88:79:7e:7d:47:07,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.81.157,/224.0.0.251,58:fb:84:47:9a:69,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.94,/239.255.255.250,2c:6e:85:9e:bc:ea,01:00:5e:7f:ff:fa,57904 (unknown),1900 (unknown),202
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.54,/224.0.0.251,d4:63:c6:9e:07:f2,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.118,/172.16.83.255,3c:a0:67:ad:85:37,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.233,/224.0.0.251,e8:50:8b:56:17:6f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),277
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/172.16.82.73,/224.0.0.253,0c:8b:fd:f3:fa:84,01:00:5e:00:00:fd,52630 (unknown),3544 (unknown),68
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.148,/172.16.83.255,84:4b:f5:76:b0:d0,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.80.119,/239.255.255.250,e4:f8:9c:6f:a2:93,01:00:5e:7f:ff:fa,63261 (unknown),1900 (unknown),304
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.81.118,/172.16.83.255,3c:a0:67:ad:85:37,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
