numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
2,0,98,3,0,1,58,61,57,2,2,0,0,2,61
0,0,100,6,0,1,62,64,61,1,0,0,0,1,64
0,0,100,2,0,2,63,65,62,2,0,0,0,1,65
7,0,93,3,0,0,52,54,51,2,7,0,1,32,22
1,0,99,2,0,1,60,60,59,1,1,0,0,1,60
0,1,100,0,0,0,49,50,48,1,0,0,0,1,50
5,0,95,2,0,0,55,55,54,1,5,0,0,4,51
0,0,100,3,0,1,65,65,64,1,0,0,0,0,65
0,0,100,2,0,2,62,64,61,1,0,0,0,2,64
0,0,100,1,0,0,65,66,64,1,0,0,0,0,66
5,1,95,2,0,0,55,58,54,1,4,1,1,1,58
2,2,98,2,0,0,47,52,46,1,2,1,1,4,52
0,0,100,1,0,1,58,60,57,2,0,0,0,1,60
3,0,97,1,0,0,56,56,55,1,3,0,0,1,56
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,1,0,0,58,58,57,1,0,0,0,6,58
4,0,96,3,0,1,51,47,50,1,4,0,0,0,41
0,0,100,1,0,0,60,60,59,1,0,0,0,0,60
1,0,99,2,0,0,64,64,63,1,1,0,0,1,64
0,0,100,0,0,0,63,63,62,1,0,0,0,5,63
0,0,100,1,0,5,56,50,51,5,0,0,0,0,50
0,0,100,2,0,0,60,61,59,1,0,0,0,0,61
11,0,89,2,0,0,56,42,55,1,11,0,0,2,42
0,2,100,1,0,0,56,61,55,1,0,0,0,2,61
2,0,98,0,0,0,60,61,59,1,2,0,0,2,34
2,0,98,1,0,0,56,56,55,1,2,0,0,0,56
0,3,100,2,0,0,62,65,61,1,0,1,0,2,30
1,0,99,2,0,0,55,58,54,1,1,0,0,1,58
6,0,95,2,0,0,60,61,59,1,5,0,1,2,61
0,0,100,0,0,0,65,65,64,1,0,0,0,0,65
1,0,99,3,0,0,56,59,55,1,1,0,0,1,59
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
3,0,97,3,0,2,54,54,53,2,3,0,0,1,54
2,0,98,1,0,0,50,53,49,1,2,0,0,0,53
0,0,100,2,0,0,64,64,63,1,0,0,0,1,64
2,0,98,1,0,0,63,63,62,1,2,0,0,1,63
4,1,96,2,0,0,62,63,61,1,3,0,0,0,63
2,1,98,2,0,0,60,62,59,1,1,1,1,1,62
4,1,96,6,0,0,50,56,49,1,3,0,1,1,56
3,0,97,2,0,0,62,62,61,1,3,0,0,1,33
0,0,100,1,0,0,60,60,59,1,0,0,0,0,60
4,1,96,0,0,0,57,58,56,1,4,0,0,0,34
1,1,99,2,0,0,48,51,47,1,1,0,0,1,51
