numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
5,63,35,9,0,0,65,64,64,24,3,62,2,0,64
1,65,35,10,0,0,65,65,64,17,1,64,1,0,65
16,35,57,13,0,7,61,56,60,15,8,35,8,3,37
37,7,80,7,0,5,45,53,44,15,24,6,20,3,40
26,19,71,15,0,2,46,58,39,11,15,19,10,3,22
18,6,85,24,0,11,55,55,42,20,9,6,9,2,55
18,12,79,20,0,2,68,68,29,21,9,11,9,1,68
28,8,78,16,0,4,65,65,32,15,14,8,14,10,26
26,10,77,19,0,5,62,62,35,17,12,10,12,2,62
23,12,75,20,0,4,62,62,35,18,13,12,13,1,62
26,13,74,21,0,3,63,63,34,21,13,12,13,1,63
22,9,80,21,0,7,60,60,37,20,11,9,11,1,38
25,12,77,18,0,3,63,63,34,20,14,11,11,1,36
42,8,81,12,0,2,54,54,43,13,30,8,18,0,25
39,27,66,12,0,1,60,56,59,15,31,27,30,0,56
26,39,54,8,0,4,69,66,68,20,18,39,17,0,66
1,28,72,22,0,0,59,69,28,37,1,27,1,0,25
5,47,51,17,0,3,58,45,57,15,3,46,2,3,40
29,42,47,0,0,0,59,57,58,13,18,41,16,1,57
57,2,84,5,0,2,48,50,47,17,42,2,41,4,25
38,4,81,7,0,1,49,67,30,21,23,4,19,0,19
58,0,87,0,0,0,44,54,43,21,44,0,42,3,42
33,31,57,12,0,0,51,51,50,22,20,31,20,0,51
27,11,80,16,0,8,52,52,51,23,18,10,18,3,39
33,18,70,12,0,9,65,52,64,11,20,18,14,1,52
27,4,86,6,0,1,60,75,22,32,16,4,12,4,14
35,20,68,8,0,1,45,53,44,15,23,19,21,9,11
33,3,83,2,0,0,55,77,20,25,18,3,14,2,13
57,2,80,2,0,0,50,58,39,23,38,2,36,2,36
37,2,86,13,0,8,48,52,45,23,24,2,24,3,41
41,2,83,6,0,5,44,54,43,15,26,2,20,4,24
24,38,53,12,0,0,52,52,51,19,14,38,14,4,46
46,20,65,4,0,2,56,50,55,20,30,20,30,2,50
43,6,78,6,0,0,52,66,31,24,26,6,22,5,22
43,6,79,10,0,2,39,59,38,20,27,6,25,4,21
37,0,88,5,0,5,59,61,36,29,24,0,24,5,44
61,0,81,0,0,2,51,51,46,24,42,0,42,1,47
31,4,86,8,0,2,34,68,29,15,20,4,14,2,23
54,6,72,6,0,0,45,61,36,20,31,6,25,3,22
33,0,88,16,0,8,44,54,43,28,20,0,16,2,40
40,2,79,2,0,8,46,52,45,25,20,2,19,2,35
54,2,87,7,0,3,51,49,50,17,42,2,42,4,42
6,0,100,23,0,24,76,76,75,11,6,0,6,0,76
2,2,97,26,0,20,64,53,63,12,1,2,1,0,53
47,0,93,5,0,15,79,79,78,11,40,0,40,0,79
33,20,73,12,0,3,54,54,53,19,26,20,26,0,54
31,4,85,8,0,2,61,69,28,28,20,4,19,3,69
41,5,77,14,0,9,45,53,44,30,22,5,18,2,24
30,1,88,10,0,3,57,60,37,44,18,1,17,3,60
25,4,90,17,0,14,59,42,58,14,19,4,15,0,42
1,0,100,12,0,30,87,87,86,8,0,0,0,0,87
0,1,99,13,0,28,77,76,76,7,0,1,0,8,76
9,5,91,19,0,14,37,61,36,23,5,4,4,2,61
9,0,96,27,0,18,57,57,56,30,5,0,5,0,57
19,3,91,8,0,23,80,71,79,8,12,3,8,0,71
20,7,84,28,0,12,55,44,54,23,11,7,9,0,44
28,4,85,5,0,14,61,58,60,17,17,4,15,0,58
50,6,79,0,0,3,50,49,49,25,35,6,34,10,49
25,4,85,14,0,5,40,66,31,17,13,4,11,1,23
8,0,100,23,0,28,73,73,72,24,8,0,8,0,73
0,3,97,28,0,22,52,52,51,45,0,3,0,2,44
0,0,100,33,0,17,66,66,65,32,0,0,0,1,66
6,13,84,16,0,19,56,45,55,30,3,13,3,1,42
6,12,85,13,0,11,75,66,74,12,3,11,3,1,62
4,17,83,0,0,16,85,84,84,5,4,16,4,13,84
0,34,66,34,0,0,57,65,32,35,0,33,0,2,65
6,56,41,14,0,0,59,55,58,20,3,55,3,0,55
24,16,73,17,0,1,51,68,29,23,13,15,11,1,16
22,11,82,20,0,13,60,49,59,10,15,10,10,1,49
28,1,88,9,0,11,54,48,53,14,17,1,12,6,42
6,1,96,9,0,24,60,58,59,16,3,1,3,18,40
9,16,81,20,0,8,47,51,46,29,6,16,6,0,45
0,65,35,35,0,0,64,64,63,20,0,64,0,0,64
4,40,58,10,0,4,49,49,48,31,2,39,2,0,40
6,36,61,32,0,1,45,53,44,30,3,35,3,6,21
15,42,53,13,0,0,52,46,51,16,10,42,9,1,46
0,58,42,27,0,1,60,51,59,17,0,57,0,8,38
2,24,75,36,0,15,60,58,59,22,1,23,1,1,58
16,10,82,12,0,16,61,58,60,18,8,10,8,0,58
15,9,89,19,0,12,68,68,67,17,13,9,13,0,68
12,27,69,12,0,9,60,60,59,20,8,27,8,0,60
4,55,43,38,0,0,56,50,55,22,2,54,2,3,42
12,41,53,41,0,0,46,52,45,26,6,40,6,1,52
20,39,51,15,0,0,48,50,47,21,10,38,10,5,23
6,25,74,16,0,11,58,58,57,13,5,24,5,0,58
10,0,99,8,0,27,90,90,89,6,9,0,9,0,90
9,0,100,6,0,28,92,90,91,5,9,0,9,0,90
10,2,94,20,0,19,67,61,66,17,6,2,6,1,61
18,0,95,23,0,16,64,64,63,18,13,0,13,0,64
8,2,94,17,0,19,78,63,77,6,4,2,4,0,63
5,10,88,26,0,12,57,57,56,16,3,10,3,0,57
2,28,72,21,0,18,78,78,77,13,2,28,2,0,78
2,8,91,28,0,23,70,64,69,16,1,8,1,0,64
6,4,93,19,0,16,58,52,57,29,3,4,3,0,52
4,8,90,17,0,10,44,54,43,23,2,8,2,7,37
14,22,74,18,0,6,54,55,42,28,10,21,10,0,43
32,8,76,11,0,9,49,49,48,27,16,8,16,6,29
38,5,86,2,0,5,51,47,50,22,29,5,27,1,47
28,32,60,19,0,0,51,50,50,20,19,32,19,4,42
12,42,52,33,0,0,47,51,46,12,6,41,6,0,25
7,22,74,11,0,1,57,71,26,30,3,21,4,1,21
18,27,69,19,0,4,52,46,51,21,13,27,11,9,19
21,0,90,12,0,15,52,49,51,27,11,0,10,3,49
25,11,83,17,0,5,42,56,41,32,18,11,16,3,29
4,21,77,18,0,17,63,57,62,24,2,21,2,6,31
37,4,79,9,0,1,58,64,33,30,20,4,20,3,64
18,43,55,28,0,2,63,63,62,19,15,43,15,0,63
19,45,49,19,0,0,58,58,57,17,13,44,13,0,58
4,49,49,43,0,2,54,44,53,19,2,48,2,1,42
5,64,34,18,0,1,71,62,70,9,3,64,2,0,62
19,46,46,21,0,0,56,48,55,15,11,45,8,0,48
4,36,62,35,0,9,59,59,58,25,2,35,2,0,59
8,18,79,24,0,13,67,63,66,16,5,18,4,4,55
4,5,94,20,0,23,74,68,73,11,3,5,2,6,56
5,0,98,18,0,24,67,67,66,18,3,0,3,6,51
21,0,92,14,0,16,56,56,55,21,12,0,12,0,56
27,15,76,18,0,3,60,60,37,33,17,15,17,0,38
29,17,73,9,0,5,53,48,52,20,19,16,19,1,48
42,4,79,16,0,10,56,42,55,12,25,4,17,0,29
37,7,82,9,0,0,49,64,33,27,25,7,25,2,29
8,28,70,11,0,1,42,63,34,28,6,28,5,0,31
1,14,86,27,0,14,58,57,57,22,1,13,1,0,57
2,4,95,0,0,26,92,91,91,5,1,4,0,6,91
14,11,83,7,0,6,43,55,42,23,7,11,6,0,34
37,14,71,18,0,3,47,55,42,35,21,14,19,3,55
41,17,67,9,0,3,47,51,46,32,25,16,23,0,39
58,20,76,6,0,2,80,77,79,12,54,20,53,1,77
24,0,92,13,0,11,49,49,48,22,16,0,14,0,47
37,15,72,14,0,3,48,51,46,25,24,15,24,0,46
11,44,53,23,0,0,51,47,50,21,7,44,5,0,46
4,61,37,35,0,0,62,56,61,17,2,60,2,0,56
